,testID,tLineConfig,phAToGnd,phBToGnd,phCToGnd,phAToCenter,phBToCenter,phCToCenter,pvDistFromCenter,sensitivity,phACurrMag,phBCurrMag,phCCurrMag,phAAngle,phBAngle,phCAngle,smplRate
Comments,Test ID,Transmission Line Configuration,Phase A to ground vertical clearance (ft),Phase B-ground vertical clearance (ft),Phase C-ground vertical clearance (ft),Phase Center-A Horizontal Clearance (ft),Phase Center-B Horizontal Clearance (ft),Phase Center-C Horizontal Clearance (ft),Phase Vision Distance from the center of the right of way (ft),Sensitivity (nT),A phase current magnitude (A),B phase current magnitude (A),C phase current magnitude (A),A Phase Angle (Degrees),B Phase Angle (Degrees),C phase Angle (Degrees),Sampling Rate (Hz)
RMS error vs phase vision distance from center,1.10,1.00,50.50,50.50,50.50,-16.00,0.00,16.00,20.00,150.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
RMS error vs phase vision distance from center,1.20,1.00,50.50,50.50,50.50,-16.00,0.00,16.00,40.00,150.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
RMS error vs phase vision distance from center,1.30,1.00,50.50,50.50,50.50,-16.00,0.00,16.00,60.00,150.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
RMS error vs phase vision distance from center,1.40,1.00,50.50,50.50,50.50,-16.00,0.00,16.00,80.00,100.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
RMS error vs phase vision distance from center,1.50,1.00,50.50,50.50,50.50,-16.00,0.00,16.00,100.00,100.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,2.10,2.00,50.50,50.50,50.50,-16.00,0.00,16.00,20.00,100.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,2.20,2.00,50.50,50.50,50.50,-16.00,0.00,16.00,30.00,50.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,2.30,2.00,50.50,50.50,50.50,-16.00,0.00,16.00,40.00,50.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,2.40,2.00,50.50,50.50,50.50,-16.00,0.00,16.00,50.00,50.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,2.50,2.00,50.50,50.50,50.50,-16.00,0.00,16.00,60.00,40.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,3.10,3.00,50.50,50.50,50.50,-16.00,0.00,16.00,20.00,40.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,3.20,3.00,50.50,50.50,50.50,-16.00,0.00,16.00,30.00,30.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,3.30,3.00,50.50,50.50,50.50,-16.00,0.00,16.00,40.00,30.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,3.40,3.00,50.50,50.50,50.50,-16.00,0.00,16.00,50.00,10.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
Minimum change in current detectable with given magnetometer settings,3.50,3.00,50.50,50.50,50.50,-16.00,0.00,16.00,60.00,10.00,10.00,20.00,30.00,0.00,120.00,240.00,100.00
